   0.05     3.9097E+01    -4.5709E+03    -2.2224E+00
   0.10     5.1709E+01    -5.1852E+03    -3.9622E+00
   0.15     5.9721E+01    -5.4894E+03    -5.0965E+00
   0.20     5.6340E+01    -5.2256E+03    -4.5723E+00
   0.25     5.4462E+01    -5.0238E+03    -4.2793E+00
   0.30     4.9121E+01    -4.6352E+03    -3.4927E+00                            
   0.35     4.9897E+01    -4.5407E+03    -3.6121E+00                            
   0.40     4.5237E+01    -4.2213E+03    -2.9175E+00                            
   0.45     4.4400E+01    -4.0479E+03    -2.8143E+00                            
   0.50     4.1823E+01    -3.8398E+03    -2.4352E+00                            
   0.55     3.6946E+01    -3.5149E+03    -1.7290E+00                            
   0.60     3.3906E+01    -3.3040E+03    -1.2861E+00                            
   0.65     2.8474E+01    -3.0016E+03    -4.8481E-01                            
   0.70     2.3393E+01    -2.6954E+03     2.4743E-01                            
   0.75     2.1069E+01    -2.5683E+03     5.9478E-01                            
   0.80     1.7001E+01    -2.3494E+03     1.1913E+00                            
   0.85     1.5138E+01    -2.2462E+03     1.4663E+00                            
   0.90     1.2089E+01    -2.0912E+03     1.9180E+00                            
   0.95     5.4469E+00    -1.7471E+03     2.8898E+00                            
   1.00     9.8468E-01    -1.5098E+03     3.5444E+00                            
   0.0      5.6197E+01    -6.5364E+03    -4.1965E+00                            
   0.05     5.6771E+01    -6.5707E+03    -4.2874E+00                            
   0.10     5.7901E+01    -6.6261E+03    -4.4630E+00                            
   0.15     5.7809E+01    -6.6342E+03    -4.4542E+00                            
   0.20     5.6599E+01    -6.5719E+03    -4.2892E+00                            
   0.25     5.5939E+01    -6.5436E+03    -4.2025E+00                            
   0.30     5.6703E+01    -6.5883E+03    -4.3238E+00                            
   0.35     5.6921E+01    -6.5981E+03    -4.3696E+00                            
   0.40     5.7279E+01    -6.6216E+03    -4.4337E+00                            
   0.45     5.7253E+01    -6.6222E+03    -4.4446E+00                            
   0.50     5.4732E+01    -6.5100E+03    -4.0866E+00                            
   0.60     5.2820E+01    -6.4262E+03    -3.8394E+00                            
   0.65     5.2914E+01    -6.4389E+03    -3.8718E+00                            
   0.70     5.2697E+01    -6.4456E+03    -3.8578E+00                            
   0.80     5.1661E+01    -6.4037E+03    -3.7707E+00                            
   0.85     5.4840E+01    -6.5643E+03    -4.2847E+00                            
   0.90     5.8970E+01    -6.7823E+03    -4.9528E+00                            
   0.95     1.0188E+02    -8.8507E+03    -1.1389E+01                            
   0.0      5.1998E+01    -6.3198E+03    -3.5866E+00                            
   0.05     5.7867E+01    -6.6249E+03    -4.4477E+00                            
   0.10     6.3884E+01    -6.9196E+03    -5.3400E+00                            
   0.15     6.5828E+01    -7.0242E+03    -5.6318E+00                            
   0.20     6.7120E+01    -7.0897E+03    -5.8309E+00                            
   0.25     6.7271E+01    -7.0970E+03    -5.8653E+00                            
   0.30     6.8324E+01    -7.1635E+03    -6.0246E+00                            
   0.35     6.8366E+01    -7.1669E+03    -6.0434E+00                            
   0.40     6.7986E+01    -7.1533E+03    -5.9999E+00                            
   0.45     7.0259E+01    -7.2656E+03    -6.3483E+00                            
   0.50     7.1283E+01    -7.3279E+03    -6.5099E+00                            
   0.55     6.9902E+01    -7.2426E+03    -6.3354E+00                            
   0.60     7.0924E+01    -7.2901E+03    -6.5073E+00                            
   0.65     7.2415E+01    -7.3672E+03    -6.7470E+00                            
   0.70     7.2643E+01    -7.3653E+03    -6.8154E+00                            
   0.75     7.3300E+01    -7.3835E+03    -6.9518E+00                            
   0.80     6.9628E+01    -7.2148E+03    -6.4451E+00                            
   0.85     6.6836E+01    -7.1394E+03    -6.0530E+00                            
   0.90     6.6982E+01    -7.2734E+03    -6.0701E+00                            
   0.95     6.0497E+01    -7.1251E+03    -5.1434E+00                            

